Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
77,142449,220861,775,99,15,26.75754914017782,120,0.5028031200668542,PhD,Unemployed,Divorced,No,Yes,Education,Yes,0
74,43699,141507,776,58,10,6.777370889275218,120,0.44580146665472853,PhD,Unemployed,Married,Yes,Yes,Other,No,0
79,88686,226160,564,507,14,9.241344575640134,24,0.5941087917453525,High School,Part-time,Single,No,No,Other,No,0
57,82661,184321,671,257,10,9.380087222710698,240,0.2238135447096327,Masters,Self-employed,Married,Yes,No,Business,No,0
38,59247,38384,785,412,14,11.934563999049265,12,0.45196208612197863,High School,Unemployed,Divorced,No,Yes,Business,No,0
33,120113,82929,733,451,9,12.406299441170471,360,0.0705137947126337,Masters,Part-time,Single,Yes,No,Auto,Yes,0
62,19621,391103,510,64,14,16.792104414985587,240,0.3309324188665656,High School,Part-time,Married,No,No,Auto,No,1
35,33030,77153,676,594,3,5.6365131376268005,24,0.6001286663636809,High School,Full-time,Single,No,Yes,Other,No,1
64,97838,236128,694,153,16,21.04615324979369,120,0.5547206827432353,Bachelors,Self-employed,Married,Yes,No,Auto,Yes,0
70,99717,76388,749,265,2,5.859429639830688,360,0.7925141897377432,High School,Self-employed,Divorced,Yes,No,Education,Yes,0
41,53638,32401,663,78,10,9.998945981031879,120,0.22231290079020483,Bachelors,Full-time,Divorced,No,No,Home,Yes,0
43,82067,203903,756,314,3,15.597008787578467,60,0.39855143933918336,PhD,Self-employed,Single,Yes,No,Other,No,0
42,133033,120503,525,559,11,24.09677628418084,24,0.2636243310191974,Masters,Full-time,Single,Yes,Yes,Home,No,0
77,120977,233601,430,247,11,22.44460776392309,24,0.3524824912473398,PhD,Part-time,Single,Yes,No,Auto,No,0
77,103869,128834,775,413,13,19.720496335905146,12,0.6855601038955106,Masters,Part-time,Married,No,Yes,Business,No,1
77,120186,35084,576,24,7,5.517424556824935,12,0.5473672601507893,PhD,Unemployed,Divorced,Yes,Yes,Other,Yes,0
62,49674,252459,455,283,17,16.864315022851756,60,0.7059529530780654,Masters,Full-time,Single,No,No,Auto,Yes,0
58,61271,111641,517,448,2,3.535948552196678,360,0.1628088866655092,High School,Part-time,Single,No,Yes,Education,No,0
46,88688,106111,489,300,12,11.943532127102872,36,0.6986888942731504,Masters,Part-time,Single,Yes,No,Other,No,0
32,126076,450042,716,67,10,12.991979378408816,240,0.04780981934270754,Masters,Full-time,Married,No,Yes,Other,No,0
62,16062,430667,845,6,18,2.154531743926861,36,0.710879424349722,PhD,Part-time,Single,Yes,No,Business,Yes,0
18,65448,139299,340,136,11,8.945654884629182,36,0.26325902356858233,PhD,Self-employed,Single,Yes,No,Other,No,0
42,110462,163982,606,163,16,28.71383455072819,24,0.2516701067312532,PhD,Part-time,Married,No,Yes,Business,Yes,0
24,62915,299185,637,82,17,28.655345627060996,240,0.40967086135893116,Bachelors,Full-time,Married,No,No,Auto,No,0
26,19632,352064,613,419,19,11.21748457332364,24,0.7525521501785855,Bachelors,Self-employed,Single,No,No,Education,Yes,0
41,119592,328825,374,72,18,2.2499031595013976,240,0.0382250917451243,Masters,Self-employed,Single,No,No,Education,Yes,0
18,149668,235386,578,236,3,6.193753240517265,120,0.28178478005659624,Masters,Part-time,Married,No,No,Other,No,0
61,124779,344715,475,45,16,12.374316009572663,24,0.6852575909466686,High School,Unemployed,Divorced,Yes,Yes,Other,Yes,0
25,123099,197553,572,261,6,28.485611241107662,24,0.3168435819483734,High School,Self-employed,Married,No,Yes,Auto,Yes,0
41,22561,462792,588,175,12,5.0947728425783625,24,0.1593255180776536,Masters,Full-time,Divorced,Yes,Yes,Business,No,0
28,97152,261337,571,165,11,23.141959466378154,360,0.33983534506512947,Bachelors,Unemployed,Single,Yes,No,Education,Yes,0
68,140036,128556,365,369,15,4.15179364186607,60,0.3084420011933355,Masters,Unemployed,Single,No,Yes,Business,No,0
34,139049,196246,782,53,15,29.45646974434703,24,0.7323329611733628,High School,Self-employed,Divorced,No,No,Auto,Yes,0
25,41734,27160,547,418,16,12.066878474164914,12,0.6095475005944777,Bachelors,Part-time,Married,No,No,Education,Yes,0
52,41069,247242,455,506,10,23.481801628072624,12,0.4040924445952051,Bachelors,Unemployed,Single,No,No,Education,Yes,0
52,27910,18633,346,340,12,10.935141401522824,240,0.7906964533772569,High School,Part-time,Divorced,No,Yes,Home,Yes,0
50,88479,489096,753,126,13,19.202397437605452,120,0.37222202502073864,Masters,Self-employed,Married,Yes,Yes,Auto,No,0
76,96264,280158,500,408,4,6.568466457461065,60,0.04659026465622018,PhD,Full-time,Divorced,Yes,Yes,Auto,No,0
22,38275,343676,423,366,7,5.234609559611914,360,0.20981945745198793,Masters,Unemployed,Married,Yes,Yes,Home,No,0
59,87274,50104,300,270,2,28.203860047475807,240,0.3488563841754501,Masters,Full-time,Married,No,No,Business,Yes,0
56,115776,435837,490,378,15,27.61177105922857,12,0.1255220993168961,High School,Part-time,Married,No,Yes,Home,Yes,1
75,63447,340375,815,72,8,26.736599266173588,60,0.7580521010592345,Bachelors,Part-time,Married,Yes,Yes,Auto,No,0
58,141394,69388,741,247,7,19.13757005483121,60,0.6134791182542185,High School,Full-time,Divorced,No,Yes,Business,No,1
45,90703,17014,442,42,15,24.43977812527207,120,0.21462976034221815,Masters,Self-employed,Divorced,No,Yes,Education,No,0
24,91090,93578,490,376,14,3.0020711704298724,60,0.4726436268143327,PhD,Self-employed,Divorced,No,No,Home,No,0
26,32260,165827,832,40,8,10.708882214829696,24,0.5771593256876576,PhD,Unemployed,Divorced,Yes,Yes,Business,Yes,1
25,127581,41390,526,169,12,10.097390617957531,60,0.7530231431254384,PhD,Unemployed,Divorced,No,Yes,Business,No,0
29,18812,286855,612,211,13,19.433714336625783,120,0.7053082793403286,High School,Self-employed,Married,Yes,Yes,Business,Yes,0
51,131148,92658,601,492,11,11.322775430648575,240,0.412153780910571,Bachelors,Self-employed,Single,No,No,Home,No,0
50,131421,58993,759,38,17,5.306696667666744,120,0.6197220958344141,High School,Full-time,Single,No,Yes,Education,Yes,1
65,16605,206768,700,368,17,18.297545186992767,360,0.44971580306206804,PhD,Part-time,Divorced,Yes,Yes,Business,No,0
72,87303,159285,692,150,4,24.617133699403364,120,0.4421631120364321,Masters,Part-time,Divorced,No,Yes,Home,No,0
40,91125,247860,506,110,8,12.081581339339222,12,0.09179356667055352,Bachelors,Unemployed,Single,No,No,Auto,Yes,0
79,139040,499172,509,479,5,4.83579273785597,24,0.10091012641292166,High School,Self-employed,Married,No,No,Home,Yes,0
41,19324,452000,414,435,16,6.703957722071869,12,0.423626892017966,High School,Full-time,Divorced,Yes,Yes,Home,No,0
54,91323,270565,550,46,4,7.887015849912135,240,0.21508923598320528,Bachelors,Unemployed,Married,No,Yes,Home,Yes,0
52,24111,219008,518,574,15,9.69703019684155,36,0.016829521968374905,Bachelors,Full-time,Single,No,No,Business,No,0
61,31389,493289,706,365,12,19.641057044682963,240,0.5782713631201698,Masters,Self-employed,Single,No,No,Home,Yes,0
57,137177,18727,742,68,5,18.42741905159385,24,0.025989277352131968,Bachelors,Self-employed,Divorced,No,No,Auto,No,0
39,56427,375562,653,298,16,21.186315985444136,60,0.4762214728832437,Masters,Self-employed,Married,No,No,Business,No,0
44,137883,5358,849,295,14,11.512557551413881,120,0.43135503530185154,PhD,Part-time,Divorced,Yes,No,Auto,No,0
52,146189,328252,441,202,10,24.895931904519372,36,0.7750517524622436,PhD,Self-employed,Single,Yes,Yes,Other,No,0
18,140808,258681,800,60,7,6.918542173517048,24,0.38737051147811336,High School,Unemployed,Married,No,Yes,Home,No,0
52,127221,95018,846,313,13,14.602181678026465,12,0.05088114910223789,PhD,Part-time,Divorced,No,Yes,Business,No,0
54,28234,387601,841,160,5,24.22722292470148,120,0.4413503742451694,PhD,Full-time,Divorced,Yes,Yes,Business,No,0
64,68441,426333,806,330,3,6.2246007842459585,240,0.6728769364928812,Masters,Unemployed,Divorced,No,No,Home,No,0
31,15846,482916,580,527,15,4.186030298482706,12,0.797479427425152,High School,Unemployed,Single,No,No,Education,Yes,0
20,25954,295054,723,337,4,26.626835062951702,24,0.34427453895125804,Bachelors,Full-time,Divorced,No,No,Education,Yes,0
18,94239,127888,569,303,15,10.94496022001668,24,0.256238993997394,High School,Part-time,Married,No,No,Auto,Yes,0
22,61514,230104,453,502,14,20.832233622361926,240,0.7253226375615992,PhD,Unemployed,Divorced,No,No,Home,No,0
43,103236,318898,382,337,19,1.735109523654216,36,0.15299370326089712,Bachelors,Unemployed,Single,No,Yes,Home,No,0
72,112579,194510,725,549,13,21.01135976387404,240,0.49234313202634133,High School,Unemployed,Divorced,No,Yes,Other,No,1
31,57101,110847,574,274,10,10.166938034862145,60,0.3245715393447582,High School,Part-time,Single,No,Yes,Education,Yes,0
56,79323,423587,583,163,5,2.6164847540358105,12,0.03286589196444423,High School,Part-time,Single,Yes,Yes,Education,Yes,0
44,106922,445717,472,442,6,18.684570084895395,36,0.2778307794445582,High School,Part-time,Married,Yes,Yes,Home,Yes,0
26,142534,455162,626,318,4,7.983310666122025,120,0.21218281800213967,Masters,Unemployed,Married,No,No,Auto,Yes,0
32,82584,301611,362,588,2,12.21741001950452,360,0.5488729231547895,High School,Self-employed,Divorced,No,No,Home,Yes,0
32,119537,411841,372,503,16,3.336843556308894,60,0.7590323981535345,PhD,Full-time,Single,No,No,Auto,No,0
43,93477,297037,674,386,18,5.267734281753414,36,0.2144377499029102,PhD,Self-employed,Single,No,No,Education,Yes,0
59,57533,77329,807,493,5,9.641339829379469,360,0.6491727513213454,Masters,Part-time,Married,Yes,No,Other,No,0
77,16828,32007,697,489,4,3.603025516244557,360,0.04428785355072762,Bachelors,Unemployed,Married,Yes,Yes,Business,No,0
30,16917,485518,419,72,13,27.413961675903142,12,0.43049680803185053,Bachelors,Unemployed,Divorced,Yes,Yes,Education,No,0
68,35618,171604,736,508,19,1.175364252335374,24,0.05644005096791567,PhD,Self-employed,Single,Yes,Yes,Auto,Yes,0
49,47254,317397,764,389,2,15.03194634706503,120,0.7472263929045115,PhD,Self-employed,Married,No,No,Home,Yes,1
56,120292,13323,585,294,13,4.574176285843992,240,0.6130810244459122,Masters,Full-time,Divorced,No,No,Education,No,0
66,62362,374479,564,368,11,9.922693594860508,12,0.5263599289636739,Bachelors,Unemployed,Single,No,No,Other,Yes,0
69,35128,113356,619,548,4,27.8557272347297,60,0.6591171052997314,Bachelors,Self-employed,Single,Yes,No,Auto,Yes,0
78,138781,111944,675,567,15,5.689142044945619,360,0.5180158364561306,High School,Full-time,Married,No,Yes,Home,No,0
49,80545,205451,388,186,4,29.009137271831644,60,0.7751555177394329,High School,Part-time,Divorced,No,No,Business,No,0
21,97180,408426,502,444,9,6.96803693269323,360,0.5711663582918173,High School,Self-employed,Married,Yes,Yes,Auto,No,0
47,102958,279600,633,569,7,22.505417145538058,24,0.7397268876657974,Masters,Part-time,Divorced,Yes,No,Home,No,0
54,148291,32367,521,362,19,16.85364068202204,24,0.41370551360851043,PhD,Full-time,Single,Yes,Yes,Business,No,1
40,54809,55624,340,122,19,26.649883100306017,120,0.09365153038549012,Masters,Part-time,Divorced,Yes,No,Home,Yes,0
56,131748,404322,367,187,6,17.065804409590797,240,0.4225421771384137,Bachelors,Unemployed,Divorced,Yes,No,Business,No,0
62,20287,235565,813,419,6,16.50221735553295,120,0.10149826245047465,PhD,Unemployed,Divorced,No,Yes,Business,Yes,0
32,23512,69008,426,251,15,6.668282010683597,24,0.47399478334112405,High School,Part-time,Divorced,No,Yes,Business,Yes,1
60,147414,389070,554,548,15,5.820651499498103,24,0.3859944484221304,Masters,Unemployed,Divorced,Yes,No,Home,No,0
46,123872,378539,315,334,9,27.57818538234991,60,0.4980603182662254,Masters,Full-time,Married,No,Yes,Business,No,0
53,108070,117492,776,91,4,10.507307766650989,24,0.008037584843865275,High School,Unemployed,Divorced,No,No,Auto,Yes,1
30,94767,73240,361,529,18,11.790385393923982,36,0.1558723933242913,Masters,Part-time,Divorced,No,No,Other,No,0
49,112829,327459,731,62,18,23.034886094423264,360,0.3930643455297047,High School,Part-time,Single,No,Yes,Other,Yes,0
24,57078,463465,567,511,5,10.825880990261414,12,0.760402849271308,Bachelors,Part-time,Divorced,Yes,No,Business,No,0
76,121288,202659,334,138,11,28.60981095253108,24,0.30688723228412673,PhD,Self-employed,Single,No,No,Other,No,1
68,98524,273900,793,184,5,22.39990530096521,120,0.33949762084290774,Bachelors,Part-time,Married,No,Yes,Other,Yes,0
39,27219,462227,768,204,4,18.32544803462918,240,0.5717568712052977,Bachelors,Full-time,Married,No,No,Business,Yes,0
45,15235,299522,624,213,12,26.545959655797823,360,0.48303420582889445,High School,Unemployed,Divorced,Yes,No,Business,No,0
19,57929,136327,603,255,2,2.438571342135,360,0.2391409200786666,Masters,Unemployed,Married,No,No,Auto,No,0
59,142309,408700,575,134,13,8.454818073487054,240,0.32865311645394224,Bachelors,Self-employed,Divorced,Yes,No,Education,No,1
62,82444,126703,500,572,10,14.486053692406388,240,0.17415983908578597,Bachelors,Self-employed,Married,Yes,Yes,Home,Yes,0
79,116834,319693,744,87,9,7.58237764467411,360,0.7728171673041668,Bachelors,Full-time,Divorced,Yes,Yes,Business,No,0
74,99555,166575,623,206,10,22.573250431762407,36,0.1045075052458878,Masters,Part-time,Divorced,Yes,Yes,Business,No,1
70,88698,336938,334,128,7,27.65703290055803,120,0.29746942765313555,Masters,Self-employed,Single,No,No,Other,No,0
23,139450,494948,781,2,4,13.289333477996779,36,0.020671177776008954,High School,Unemployed,Single,Yes,Yes,Auto,No,0
45,58925,308257,779,120,19,10.921845403244953,24,0.17742359354683712,Bachelors,Self-employed,Single,Yes,Yes,Other,Yes,1
45,102388,499946,364,384,10,28.88497123198942,12,0.6243769107041239,PhD,Self-employed,Single,Yes,Yes,Business,Yes,0
61,23007,75069,307,37,3,13.900720551998685,240,0.1609401858311036,Masters,Part-time,Divorced,Yes,No,Business,Yes,0
61,73596,230189,600,340,19,15.182403613029214,120,0.06405072202317248,High School,Self-employed,Married,Yes,Yes,Other,No,0
